type,extensions,note_numbers
diminished-seventh,[],"[31, 52, 55, 61]"
minor-seventh,[],"[29, 39, 48, 53, 56]"
minor-seventh,[],"[34, 44, 46, 49]"
dominant-13th,[],"[32, 42, 46, 48, 53]"
dominant,[],"[32, 42, 48, 51]"
major,[],"[25, 41, 44, 49]"
dominant,[],"[32, 39, 42]"
major,[],"[25, 37, 41]"
dominant,[],"[30, 40, 44, 46, 51, 54]"
major,[],"[23, 34, 39, 46, 51]"
dominant,[],"[26, 36, 40, 42, 47]"
major,[],"[31, 38, 42, 45, 47, 50]"
minor-seventh,[],"[25, 32, 40, 42, 47, 51]"
dominant,[],"[30, 40, 40, 44, 46, 49]"
major,[],"[23, 34, 42, 46, 54]"
dominant,[],"[26, 36, 40, 42, 47, 50]"
major,[],"[19, 35, 38, 42, 47]"
dominant,[],"[22, 32, 36, 38, 43]"
major,[],"[27, 34, 38, 41, 43, 46]"
minor-seventh,[],"[21, 36, 40, 43, 47]"
dominant,[],"[31, 38, 42, 45, 47, 50]"
major,[],"[31, 38, 42, 45, 47, 50]"
minor-seventh,[],"[25, 32, 40, 42, 47, 51]"
dominant,[],"[23, 34, 42, 46, 49, 54]"
major,[],"[23, 34, 42, 46, 49, 54]"
minor-seventh,[],"[29, 36, 44, 46, 51, 55]"
dominant,[],"[39, 46, 50, 53, 55, 58]"
major,[],"[39, 46, 50, 53, 55, 58]"
minor-seventh,[],"[33, 40, 48, 50, 55, 59]"
dominant,[],"[31, 38, 54, 57, 59, 62]"
major,[],"[31, 38, 54, 57, 59, 62]"
minor-seventh,[],"[41, 44, 48, 51, 55, 58]"
dominant,[],"[34, 44, 48, 50, 55, 58]"
dominant,[],"[30, 40, 44, 46, 51, 54]"
major,[],"[23, 34, 39, 46, 51]"
dominant,[],"[26, 36, 40, 42, 47]"
major,[],"[31, 38, 42, 45, 47, 50]"
minor-seventh,[],"[25, 32, 40, 42, 47, 51]"
dominant,[],"[30, 40, 40, 44, 46, 49]"
major,[],"[23, 34, 42, 46, 54]"
dominant,[],"[26, 36, 40, 42, 47, 50]"
major,[],"[19, 35, 38, 42, 47]"
dominant,[],"[22, 32, 36, 38, 43]"
major,[],"[27, 34, 38, 41, 43, 46]"
minor-seventh,[],"[21, 36, 40, 43, 47]"
dominant,[],"[31, 38, 42, 45, 47, 50]"
major,[],"[31, 38, 42, 45, 47, 50]"
minor-seventh,[],"[25, 32, 40, 42, 47, 51]"
dominant,[],"[23, 34, 42, 46, 49, 54]"
major,[],"[23, 34, 42, 46, 49, 54]"
minor-seventh,[],"[29, 36, 44, 46, 51, 55]"
dominant,[],"[39, 46, 50, 53, 55, 58]"
major,[],"[39, 46, 50, 53, 55, 58]"
minor-seventh,[],"[33, 40, 48, 50, 55, 59]"
dominant,[],"[31, 38, 54, 57, 59, 62]"
major,[],"[31, 38, 54, 57, 59, 62]"
minor-seventh,[],"[41, 44, 48, 51, 55, 58]"
dominant,[],"[34, 44, 48, 50, 55, 58]"
minor-seventh,[],"[40, 44, 46, 49, 52]"
minor-seventh,[],"[33, 37, 40, 42, 45]"
dominant,[],"[39, 42, 45, 48, 51]"
major-seventh,[],"[32, 35, 39, 42, 44]"
major-seventh,[],"[37, 40, 42, 45, 49]"
half-diminished,[],"[30, 33, 37, 40, 42]"
dominant,[],"[36, 39, 42, 45, 48]"
minor-seventh,[],"[28, 32, 35, 37, 40]"
diminished-seventh,[],"[29, 32, 35, 38, 41]"
minor-seventh,[],"[30, 33, 37, 40, 42]"
dominant,[],"[40, 42, 45, 48, 52]"
minor-seventh,[],"[35, 39, 42, 44, 47]"
dominant,[],"[35, 38, 41, 44, 47]"
minor-seventh,[],"[30, 33, 37, 40, 42]"
dominant,[],"[37, 40, 42, 45, 49]"
major-seventh,[],"[33, 36, 39, 42, 45]"
dominant-13th,[],"[27, 37, 43, 48, 53]"
dominant-13th,[],"[31, 37, 42, 47]"
dominant,[],"[25, 35, 41, 47]"
major,[],"[24, 40, 43, 47]"
major-seventh,[],"[28, 42, 44]"
minor-seventh,[],"[30, 42, 45]"
minor-seventh,[],"[32, 42, 44, 47]"
major-seventh,[],"[28, 39, 42, 44]"
minor-seventh,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[28, 38, 42, 43]"
minor-seventh,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[33, 40, 43, 48]"
minor-seventh,[],"[27, 34, 37, 42]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[32, 34, 37, 42]"
dominant-ninth,[],"[34, 36, 42]"
major-seventh,[],"[24, 31, 35, 40]"
minor-seventh,"[{'degree': '9', 'alter': '1', 'type': 'add'}]","[25, 32, 35, 40]"
minor,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[30, 40, 42, 43, 45]"
major-seventh,[],"[23, 39, 42]"
minor-seventh,"[{'degree': '11', 'alter': '0', 'type': 'add'}]","[25, 35, 44, 51, 54]"
major-seventh,[],"[28, 39, 44, 47]"
minor-seventh,[],"[30, 40, 44]"
minor-seventh,[],"[27, 37, 42, 46]"
dominant,[],"[26, 36, 42, 47]"
minor-seventh,[],"[25, 35, 44, 47, 52]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[22, 44, 48, 51]"
major-ninth,[],"[28, 39, 42, 44]"
dominant-ninth,[],"[27, 37, 41, 43, 49]"
major-seventh,"[{'degree': '13', 'alter': '-1', 'type': 'add'}]","[20, 40, 48]"
dominant,[],"[28, 38, 44, 48]"
dominant-13th,[],"[21, 31, 37, 42, 47]"
dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}]","[20, 30, 36, 41, 47]"
dominant-13th,[],"[19, 29, 35, 40, 47]"
dominant,[],"[25, 41, 47]"
major,[],"[24, 40, 43, 47]"
minor,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[22, 44, 48]"
minor-ninth,[],"[16, 23, 42, 43]"
diminished-seventh,[],"[27, 36, 42, 47]"
minor-seventh,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[26, 36, 41]"
minor-ninth,[],"[31, 41, 57]"
dominant,"[{'degree': '13', 'alter': '-1', 'type': 'add'}]","[25, 35, 59]"
dominant,[],"[14, 26, 50, 54, 57, 57, 60]"
major,[],"[13, 25, 49, 53, 56, 61]"
major,[],"[13, 25, 37, 41, 44, 49]"
major,[],"[13, 25, 53, 56, 61]"
minor,[],"[23, 38, 42, 47]"
minor,[],"[42, 45, 49]"
minor,[],"[18, 30, 49]"
major,[],"[13, 25, 49]"
minor,[],"[11, 23, 47]"
major,[],"[13, 25, 37, 41, 44, 49]"
minor,[],"[18, 42, 45, 49, 54]"
dominant,[],"[37, 41, 44, 47]"
minor,[],"[18, 42, 45, 49, 54]"
diminished,[],"[14, 42, 48]"
minor,[],"[18, 30, 42]"
major,[],"[16, 28, 44]"
minor,[],"[15, 27, 45]"
major,[],"[14, 26, 47]"
minor,[],"[13, 25, 49]"
major,[],"[11, 23, 50]"
major,[],"[9, 21, 52]"
major,[],"[8, 20, 52]"
minor,[],"[18, 42, 45, 49, 54]"
half-diminished,[],"[39, 44, 51]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}]","[23, 47, 51]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[22, 46, 50]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[27, 34, 41, 44, 47, 56]"
minor,[],"[25, 34, 39, 42, 46, 54]"
minor-seventh,[],"[20, 39, 42]"
dominant,[],"[25, 37, 41]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[35, 39, 47]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}]","[30, 42, 46]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[29, 41, 45]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}]","[28, 40, 44]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[27, 39, 43]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[20, 39, 42]"
dominant,[],"[25, 37, 41]"
major-seventh,[],"[35, 39, 47]"
half-diminished,[],"[39, 44, 51]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}]","[23, 47, 51]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[22, 46, 50]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[27, 34, 41, 44, 47, 56]"
minor,[],"[25, 34, 39, 42, 46, 54]"
minor-seventh,[],"[20, 39, 42]"
dominant,[],"[25, 37, 41]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[35, 39, 47]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}]","[30, 42, 46]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[29, 41, 45]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}]","[29, 41, 45]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[28, 40, 44]"
minor-seventh,[],"[21, 40, 43]"
dominant,[],"[26, 38, 42]"
major-seventh,[],"[36, 40, 48]"
half-diminished,[],"[40, 45, 52]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}]","[24, 48, 52]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[23, 47, 51]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[28, 35, 42, 45, 48, 57]"
minor,[],"[26, 35, 40, 43, 47, 55]"
minor-seventh,[],"[21, 40, 43]"
dominant,[],"[26, 38, 42]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[36, 40, 48]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}]","[31, 43, 47]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[30, 42, 46]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}]","[29, 41, 45]"
minor-seventh,[],"[21, 40, 43]"
dominant,[],"[26, 38, 42]"
major-seventh,[],"[36, 40, 48]"
minor-seventh,[],"[18, 33, 47, 50, 59]"
dominant,[],"[24, 38, 40, 43, 52]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[23, 36, 39, 42, 51]"
minor-sixth,[],"[28, 37, 43, 47, 55]"
major-seventh,"[{'degree': '11', 'alter': '-1', 'type': 'add'}, {'degree': '5', 'alter': '1', 'type': 'alter'}]","[26, 45, 49, 54, 56]"
augmented-seventh,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[25, 41, 44, 47, 52]"
major,"[{'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '7', 'alter': '-1', 'type': 'add'}]","[34, 41, 45, 47, 50]"
minor-seventh,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[30, 40, 44, 45, 49]"
augmented-seventh,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[25, 37, 39, 45, 47]"
minor-seventh,"[{'degree': '11', 'alter': '-1', 'type': 'add'}]","[28, 35, 38, 43, 45]"
major,"[{'degree': '9', 'alter': '-1', 'type': 'alter'}, {'degree': '13', 'alter': '-1', 'type': 'add'}]","[33, 40, 46, 49, 54]"
minor,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '7', 'alter': '-1', 'type': 'add'}]","[26, 32, 36, 41, 44]"
other,[],"[21, 33, 37, 38, 42]"
major,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[29, 32, 36, 41]"
other,[],"[26, 33, 37, 42]"
other,[],"[32, 33, 36, 42, 45]"
major-seventh,"[{'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '13', 'alter': '-1', 'type': 'add'}]","[35, 40, 42, 45, 49]"
major,"[{'degree': '13', 'alter': '-1', 'type': 'add'}, {'degree': '7', 'alter': '-1', 'type': 'add'}]","[37, 41, 45, 47, 52]"
suspended-fourth,"[{'degree': '6', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}]","[30, 37, 39, 44, 47]"
minor-seventh,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[30, 37, 40, 44, 45]"
major,"[{'degree': '5', 'alter': '1', 'type': 'alter'}]","[42, 48, 52]"
power,"[{'degree': '13', 'alter': '-1', 'type': 'add'}]","[24, 39, 42, 45, 48]"
minor-seventh,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[25, 40, 44, 47, 51]"
minor-seventh,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[30, 44, 49, 52, 57]"
major-minor,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[33, 42, 45, 49, 53]"
major-seventh,"[{'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '11', 'alter': '-1', 'type': 'add'}, {'degree': '5', 'alter': '1', 'type': 'alter'}]","[26, 45, 49, 52, 56]"
minor,"[{'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '75', 'alter': '-1', 'type': 'add'}]","[23, 45, 47, 50, 54]"
major,"[{'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '13', 'alter': '1', 'type': 'add'}, {'degree': '7', 'alter': '-1', 'type': 'add'}]","[25, 41, 45, 47, 52]"
major,"[{'degree': '13', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '7', 'alter': '-1', 'type': 'add'}]","[31, 41, 45, 47, 50]"
minor-seventh,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[30, 40, 44, 45, 49]"
major,"[{'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '7', 'alter': '-1', 'type': 'add'}]","[27, 36, 39, 42, 45, 47]"
minor-13th,[],"[28, 37, 40, 43, 45]"
major,"[{'degree': '9', 'alter': '-1', 'type': 'alter'}, {'degree': '13', 'alter': '-1', 'type': 'add'}]","[33, 40, 46, 49, 54]"
minor,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '7', 'alter': '-1', 'type': 'add'}]","[26, 32, 36, 41, 44]"
dominant-13th,[],"[21, 33, 37, 40, 42]"
minor,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '7', 'alter': '-1', 'type': 'add'}]","[24, 32, 36, 41]"
major-seventh,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[26, 33, 37, 40, 42]"
minor,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[30, 33, 36, 42, 45]"
dominant-11th,[],"[33, 38, 40, 45, 49]"
major,"[{'degree': '13', 'alter': '-1', 'type': 'add'}, {'degree': '7', 'alter': '-1', 'type': 'add'}]","[37, 41, 45, 47, 52]"
major,"[{'degree': '5', 'alter': '1', 'type': 'alter'}]","[33, 41, 44, 45, 49]"
minor-seventh,[],"[32, 39, 42, 47]"
minor,[],"[37, 40, 44, 45]"
major,"[{'degree': '5', 'alter': '1', 'type': 'alter'}, {'degree': '713', 'alter': '-1', 'type': 'add'}]","[32, 38, 42, 48, 52]"
minor-13th,"[{'degree': '9', 'alter': '-1', 'type': 'alter'}]","[32, 35, 40, 46, 51]"
suspended-fourth,"[{'degree': '7', 'alter': '-1', 'type': 'add'}]","[42, 44, 47, 49]"
power,"[{'degree': '7', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}]","[32, 44, 48, 52, 57]"
minor,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[27, 42, 45, 49, 53]"
major-seventh,"[{'degree': '11', 'alter': '-1', 'type': 'add'}, {'degree': '5', 'alter': '1', 'type': 'alter'}]","[26, 45, 49, 52, 54, 56]"
major-seventh,[],"[29, 41, 45, 48, 52]"
major,"[{'degree': '9', 'alter': '-1', 'type': 'alter'}, {'degree': '13', 'alter': '-1', 'type': 'add'}]","[33, 41, 45, 50]"
minor-13th,"[{'degree': '9', 'alter': '-1', 'type': 'alter'}]","[30, 39, 42, 44, 45, 49]"
major-seventh,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[26, 42, 49, 56, 56]"
dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}]","[25, 35, 41, 47, 52, 52]"
minor-seventh,[],"[18, 40, 45, 49, 49]"
dominant,[],"[18, 40, 45, 49, 49]"
minor-seventh,[],"[28, 38, 43, 45, 45]"
major-seventh,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[26, 37, 44, 44]"
dominant,"[{'degree': '13', 'alter': '-1', 'type': 'add'}]","[25, 35, 41, 47, 52, 52]"
minor-seventh,[],"[18, 33, 40, 47, 47]"
dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}]","[32, 36, 42, 52, 52]"
minor-seventh,[],"[25, 40, 47, 51, 51]"
minor-seventh,[],"[30, 45, 52, 57, 57]"
major-seventh,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[26, 33, 40, 42, 49, 56, 56]"
dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}]","[25, 35, 40, 41, 45, 52, 52]"
minor-seventh,[],"[18, 40, 45, 49, 49]"
dominant,[],"[18, 40, 45, 49, 49]"
minor-seventh,[],"[28, 31, 35, 38, 42, 45, 45]"
major-seventh,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[26, 30, 33, 37, 38, 42, 44]"
dominant,"[{'degree': '13', 'alter': '-1', 'type': 'add'}]","[35, 41, 45, 49, 52, 52]"
minor-seventh,[],"[30, 33, 37, 40, 44, 47, 47]"
dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}]","[32, 36, 42, 47, 52, 52]"
minor-seventh,[],"[25, 32, 40, 44, 47, 51, 51]"
minor-seventh,[],"[30, 37, 44, 45, 52, 57, 57]"
major-seventh,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[26, 33, 40, 42, 49, 56, 56]"
dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}]","[25, 35, 40, 41, 45, 52, 52]"
minor-seventh,[],"[30, 33, 37, 40, 44, 47, 47]"
dominant-13th,"[{'degree': '9', 'alter': '-1', 'type': 'alter'}]","[25, 35, 38, 41, 46]"
dominant-ninth,[],"[28, 38, 42, 44, 46]"
dominant-ninth,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[25, 32, 39, 42, 46, 49]"
dominant-13th,[],"[25, 35, 41, 46, 51]"
minor-seventh,[],"[34, 44, 49, 54]"
minor-ninth,[],"[32, 35, 42, 46, 51]"
major-ninth,[],"[34, 41, 44, 49]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[25, 35, 42, 46, 51]"
minor-seventh,[],"[38, 46, 48, 53]"
minor-seventh,[],"[27, 37, 46, 49, 54]"
major-seventh,[],"[25, 36, 44, 48, 53]"
dominant-13th,[],"[23, 33, 39, 44, 51]"
dominant,[],"[22, 32, 41, 44, 49, 49]"
dominant-13th,[],"[23, 33, 39, 44, 51]"
minor-seventh,[],"[26, 36, 45, 48, 53]"
minor-seventh,[],"[27, 37, 46, 49, 54]"
dominant-13th,[],"[34, 44, 49]"
minor-seventh,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[29, 39, 44, 47]"
dominant-13th,"[{'degree': '9', 'alter': '-1', 'type': 'alter'}]","[25, 35, 38, 41, 46]"
dominant-13th,"[{'degree': '9', 'alter': '-1', 'type': 'alter'}]","[25, 35, 38, 41, 46]"
minor-seventh,[],"[18, 30, 42]"
dominant-ninth,[],"[28, 38, 42, 44, 46]"
dominant-ninth,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[25, 39, 42, 46, 49]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[24, 34, 50, 54]"
major-seventh,[],"[35, 42, 46, 51]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[29, 39, 42, 45, 51]"
dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}]","[22, 32, 38, 42, 49]"
minor-seventh,[],"[27, 37, 39, 42]"
minor-seventh,[],"[26, 36, 38, 41]"
minor-seventh,[],"[25, 35, 37, 40]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[30, 40, 43, 46, 49]"
minor-seventh,[],"[39, 46, 49, 54]"
major-seventh,[],"[37, 44, 48, 53]"
major-seventh,[],"[35, 42, 46, 51]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[22, 41, 44, 49]"
major-seventh,[],"[35, 42, 46, 51]"
minor-ninth,[],"[38, 44, 48, 53]"
minor-seventh,[],"[39, 46, 49, 54]"
major,"[{'degree': '7', 'alter': '-1', 'type': 'add'}]","[25, 35, 41, 46, 53]"
major,[],"[28, 32, 35]"
major-sixth,[],"[26, 35, 42, 45]"
dominant,[],"[25, 35, 41, 44]"
minor,[],"[18, 25, 33, 41]"
dominant,[],"[23, 33, 39]"
diminished-seventh,[],"[28, 37, 43, 46]"
half-diminished,[],"[34, 37, 44, 52]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[34, 37, 44, 52]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[27, 37, 43]"
minor-seventh,[],"[32, 35, 42, 54]"
diminished-seventh,[],"[31, 34, 40, 51]"
minor-seventh,[],"[30, 33, 40, 47]"
minor-seventh,[],"[40, 45, 49]"
dominant,[],"[33, 35, 39]"
major-seventh,[],"[28, 39, 44, 47]"
dominant,"[{'degree': '5', 'alter': '1', 'type': 'alter'}]","[28, 39, 44, 47]"
dominant,"[{'degree': '5', 'alter': '1', 'type': 'alter'}]","[23, 33, 35, 37, 39, 43]"
major-sixth,[],"[16, 35, 37, 40]"
minor,[],"[37, 40, 42]"
minor,[],"[39, 42, 44]"
major,[],"[23, 44, 47]"
none,[],"[33, 37, 42]"
minor,[],"[33, 37, 42]"
minor,[],"[35, 39, 44]"
major,[],"[37, 40, 45]"
major,[],"[31, 39, 46]"
major,[],"[32, 42, 47]"
minor,[],"[37, 40, 44]"
dominant-ninth,[],"[34, 40, 44, 48]"
half-diminished,[],"[36, 42, 45, 52]"
major,[],"[28, 32, 35]"
dominant,[],"[25, 35, 41, 45]"
minor,[],"[30, 33, 41]"
dominant,[],"[23, 33, 39]"
diminished-seventh,[],"[28, 37, 43, 46]"
half-diminished,[],"[34, 37, 44, 52]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[34, 37, 44, 52]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[27, 37, 43]"
minor-seventh,[],"[32, 42, 47, 54]"
diminished-seventh,[],"[31, 40, 46, 51]"
minor-seventh,[],"[30, 33, 40, 47]"
dominant-ninth,[],"[26, 36, 40, 44]"
minor-seventh,[],"[40, 45, 49]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[42, 45, 48, 54]"
major-sixth,[],"[28, 35, 44, 49, 52]"
dominant-13th,"[{'degree': '11', 'alter': '1', 'type': 'alter'}]","[26, 36, 40, 44, 47]"
dominant-13th,"[{'degree': '11', 'alter': '1', 'type': 'alter'}]","[24, 34, 38, 42, 45]"
dominant-ninth,[],"[23, 33, 37, 39, 44]"
dominant-13th,[],"[32, 36, 41]"
minor-seventh,[],"[30, 33, 37, 42]"
major-seventh,[],"[30, 40, 44, 49]"
major-seventh,[],"[30, 40, 44, 49]"
dominant,[],"[30, 40, 44, 49]"
major-seventh,[],"[33, 40, 44, 49]"
minor-seventh,[],"[32, 39, 42, 47]"
major,[],"[32, 37, 42, 46]"
major,[],"[33, 39, 44, 47]"
half-diminished,[],"[22, 44, 49, 52]"
minor-sixth,[],"[21, 43, 48, 52]"
minor-seventh,[],"[20, 47, 51, 54]"
dominant-13th,[],"[25, 35, 41, 46, 51]"
dominant-13th,[],"[35, 41, 46, 49]"
minor-ninth,[],"[30, 40, 44, 47]"
half-diminished,[],"[29, 35, 38, 44]"
minor-seventh,[],"[33, 37, 40, 45]"
major-seventh,[],"[33, 40, 44, 49]"
dominant,[],"[23, 36, 39]"
minor-seventh,[],"[32, 39, 42, 47]"
dominant,[],"[31, 38, 42, 47]"
major-seventh,[],"[24, 35, 40, 43, 47]"
dominant,[],"[29, 38, 43, 47]"
major-seventh,[],"[33, 40, 44, 49]"
dominant,[],"[23, 36, 39]"
major-seventh,[],"[17, 28, 36, 40]"
major-seventh,[],"[16, 32, 35, 40]"
dominant-ninth,[],"[37, 39, 42]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[23, 33, 36, 39, 44]"
minor-seventh,[],"[35, 39, 42, 47]"
minor-seventh,[],"[31, 38, 41, 47]"
minor-seventh,[],"[27, 33, 36, 42]"
half-diminished,[],"[27, 33, 36, 42]"
half-diminished,[],"[29, 35, 38, 44]"
minor-seventh,[],"[30, 37, 38, 45]"
minor-seventh,[],"[31, 37, 40, 46]"
half-diminished,[],"[34, 40, 43, 49]"
minor-seventh,[],"[32, 39, 42, 44, 47]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[25, 35, 39, 42, 44]"
none,[],"[31, 41, 43, 46]"
minor-seventh,[],"[32, 42, 44, 47]"
half-diminished,[],"[33, 42, 45, 48]"
minor-seventh,[],"[34, 40, 44, 49]"
major-seventh,[],"[34, 40, 44, 49]"
dominant-ninth,[],"[36, 42, 46, 51]"
dominant-ninth,[],"[37, 43, 47, 52]"
minor-ninth,[],"[18, 44, 45, 52]"
dominant-13th,"[{'degree': '9', 'alter': '-1', 'type': 'alter'}]","[18, 33, 44, 48, 51]"
dominant,[],"[24, 34, 43, 48, 52]"
dominant,"[{'degree': '13', 'alter': '-1', 'type': 'add'}]","[38, 39, 42, 46]"
dominant-ninth,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[24, 34, 38, 42]"
major-seventh,[],"[22, 33, 41, 45, 50]"
major-seventh,[],"[22, 33, 41, 45, 50]"
dominant,[],"[22, 33, 41, 45, 50]"
major-seventh,[],"[34, 41, 45, 50]"
minor-seventh,[],"[33, 40, 43, 48]"
minor-seventh,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[32, 38, 42, 47]"
minor-seventh,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[33, 39, 43, 48]"
minor-seventh,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[35, 45, 50, 53]"
minor-sixth,[],"[34, 43, 49, 53]"
minor-seventh,[],"[45, 60, 64, 67]"
minor-seventh,[],"[44, 56, 59, 64]"
half-diminished,[],"[54, 59, 62]"
minor-seventh,[],"[43, 57, 60]"
diminished,[],"[42, 52, 57]"
minor-seventh,[],"[43, 53, 55, 58]"
major-seventh,[],"[22, 53, 57, 62]"
dominant-13th,[],"[24, 52, 57, 61, 64]"
minor-seventh,[],"[26, 53, 57, 65]"
