root,type,extensions,notes,note_numbers
F,minor,[],"['F3', 'Ab3', 'C4', 'Eb4', 'C5', 'D5']","[33, 36, 40, 43, 52, 54]"
Bb,dominant,[],"['Bb2', 'Ab4', 'D5', 'F5']","[26, 48, 54, 57]"
Eb,major-seventh,[],"['Eb3', 'G3', 'F4', 'C5']","[31, 35, 45, 52]"
Ab,dominant,[],"['Ab2', 'C4', 'F4', 'Gb4']","[24, 40, 45, 46]"
Bb,major,[],"['D3', 'C4', 'C5', 'F5']","[30, 40, 52, 57]"
G,minor-seventh,[],"['G2', 'D3', 'F3', 'Bb3', 'A4', 'F5']","[23, 30, 33, 38, 49, 57]"
G,minor-seventh,"[{'degree': '5', 'alter': '1', 'type': 'alter'}]","['D4', 'F#4', 'D5']","[42, 46, 54]"
C,suspended-fourth,[],"['C3', 'Bb3', 'F4', 'C5']","[28, 38, 45, 52]"
C,dominant-ninth,[],"['C3', 'Bb3', 'F4', 'C5']","[28, 38, 45, 52]"
C,dominant-ninth,[],"['C3', 'Bb3', 'D4', 'G4']","[28, 38, 42, 47]"
Bb,major-seventh,[],"['Bb2', 'A3', 'D4', 'A4', 'D5']","[26, 37, 42, 49, 54]"
Bb,major-sixth,[],"['Bb2', 'G3', 'D4', 'G4', 'D5']","[26, 35, 42, 47, 54]"
Bb,dominant,[],"['Bb2', 'Ab3', 'G4', 'D5']","[26, 36, 47, 54]"
Bb,dominant,"[{'degree': '5', 'alter': '1', 'type': 'alter'}]","['Gb3', 'F#4', 'D5']","[34, 46, 54]"
Eb,major-sixth,[],"['F3', 'F4', 'C5']","[33, 45, 52]"
Eb,major-seventh,[],"['D3', 'D4', 'G4']","[30, 42, 47]"
Eb,minor,[],"['Eb3', 'Gb4', 'Bb4']","[31, 46, 50]"
Bb,major-seventh,[],"['Bb3', 'C4', 'D5']","[38, 40, 54]"
G,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['G2', 'B3', 'F4', 'Ab4', 'Eb5']","[23, 39, 45, 48, 55]"
C,dominant-13th,[],"['C3', 'Bb3', 'E4', 'A4', 'D5']","[28, 38, 44, 49, 54]"
F,suspended-fourth,[],"['F3', 'Bb3', 'Eb4', 'Bb4']","[33, 38, 43, 50]"
F,dominant,[],"['F3', 'A3', 'C5']","[33, 37, 52]"
Bb,major-seventh,[],"['D3', 'A3', 'F4', 'A4', 'Bb4']","[30, 37, 45, 49, 50]"
Eb,major-seventh,[],"['Eb3', 'Bb3', 'D4', 'G4']","[31, 38, 42, 47]"
D,minor-seventh,[],"['D3', 'A3', 'C4', 'F4']","[30, 37, 40, 45]"
C,minor-seventh,[],"['C3', 'G3', 'Bb3', 'Eb4']","[28, 35, 38, 43]"
Bb,major-seventh,[],"['Bb2', 'F3', 'A3', 'D4']","[26, 33, 37, 42]"
C,minor-seventh,[],"['G3', 'Bb3', 'C4', 'Eb4', 'F4', 'F5']","[35, 38, 40, 43, 45, 57]"
F,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['F3', 'Bb3', 'C4', 'Eb4', 'G4', 'G5']","[33, 38, 40, 43, 47, 59]"
F,dominant,[],"['F3', 'A3', 'C4', 'Eb4', 'A4', 'A5']","[33, 37, 40, 43, 49, 61]"
Bb,major,[],"['Bb2', 'Bb4', 'F5', 'Bb5']","[26, 50, 57, 62]"
Bb,dominant,"[{'degree': '5', 'alter': '1', 'type': 'alter'}]","['D4', 'F#4', 'Bb4']","[42, 46, 50]"
Eb,dominant-ninth,[],"['G4', 'Db5', 'F5']","[47, 53, 57]"
Bb,major,[],"['D3', 'C5', 'F5']","[30, 52, 57]"
Bb,major,"[{'degree': '5', 'alter': '1', 'type': 'alter'}]","['F#3', 'F#4', 'D5']","[34, 46, 54]"
G,minor-ninth,[],"['G3', 'A4', 'Bb4']","[35, 49, 50]"
C,minor-11th,[],"['C3', 'Eb4', 'F#4']","[28, 43, 46]"
F,dominant,[],"['F#3', 'Eb4', 'D5', 'F5']","[34, 43, 54, 57]"
Bb,dominant,"[{'degree': '5', 'alter': '1', 'type': 'alter'}]","['D4', 'F#4', 'Bb4', 'D5']","[42, 46, 50, 54]"
Eb,major-seventh,[],"['Eb3', 'Bb4', 'D5', 'A5']","[31, 50, 54, 61]"
D,minor-seventh,[],"['D3', 'C5', 'F5']","[30, 52, 57]"
G,minor-ninth,[],"['C3', 'F3', 'D4', 'A4', 'C5']","[28, 33, 42, 49, 52]"
C,dominant-ninth,[],"['C3', 'E3', 'D4', 'Bb4', 'C5']","[28, 32, 42, 50, 52]"
F,dominant,[],"['Eb3', 'A3', 'Eb4', 'F4']","[31, 37, 43, 45]"
F,dominant,"[{'degree': '5', 'alter': '1', 'type': 'alter'}]","['A3', 'Eb4', 'C#5', 'F5']","[37, 43, 53, 57]"
Bb,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['Bb3', 'Eb4', 'F4', 'Ab4', 'G5', 'D6']","[38, 43, 45, 48, 59, 66]"
Eb,major-sixth,[],"['G3', 'Bb3', 'C4', 'F4', 'C5']","[35, 38, 40, 45, 52]"
G,other,[],"['G3', 'Bb3', 'C#4', 'E4', 'Bb4']","[35, 38, 41, 44, 50]"
Bb,major-seventh,[],"['F3', 'A3', 'Bb3', 'D4', 'F4']","[33, 37, 38, 42, 45]"
D,dominant,"[{'degree': '5', 'alter': '1', 'type': 'alter'}]","['F#3', 'Bb3', 'D4']","[34, 38, 42]"
G,minor,[],"['Bb2', 'D3', 'G3', 'Bb3']","[26, 30, 35, 38]"
F,suspended-fourth,[],"['Bb2', 'Eb3', 'F3', 'A3']","[26, 31, 33, 37]"
C,dominant-ninth,[],"['Bb2', 'E3', 'G3', 'Bb3']","[26, 32, 35, 38]"
Bb,major,[],"['D3', 'C4', 'F4', 'D5']","[30, 40, 45, 54]"
C,dominant-ninth,[],"['C3', 'Bb3', 'D4', 'A4', 'C5']","[28, 38, 42, 49, 52]"
F,dominant,[],"['F2', 'D4', 'Eb4', 'G4']","[21, 42, 43, 47]"
Bb,major-seventh,[],"['Bb1', 'D4', 'F4', 'Bb4']","[14, 42, 45, 50]"
D,dominant,[],"['F#3', 'C4', 'D4']","[34, 40, 42]"
D,suspended-fourth,[],"['D3', 'G3', 'A3', 'D4']","[30, 35, 37, 42]"
G,major-seventh,[],"['F#3', 'G3', 'D4', 'B4']","[34, 35, 42, 51]"
D,minor-sixth,[],"['F3', 'C4', 'E4', 'B4']","[33, 40, 44, 51]"
G,dominant,[],"['F3', 'C4', 'E4', 'D5']","[33, 40, 44, 54]"
C,major-seventh,[],"['G3', 'B3', 'C4', 'E4', 'A4']","[35, 39, 40, 44, 49]"
A,dominant,[],"['G3', 'C#4', 'F#4', 'A4']","[35, 41, 46, 49]"
A,dominant,"[{'degree': '5', 'alter': '1', 'type': 'alter'}]","['G3', 'C#4', 'F#4', 'A4']","[35, 41, 46, 49]"
A,dominant-ninth,[],"['G3', 'C#4', 'F#4', 'A4']","[35, 41, 46, 49]"
D,dominant,[],"['F#3', 'C#4', 'D4', 'A4']","[34, 41, 42, 49]"
G,major-seventh,[],"['A3', 'B3', 'F#4', 'B4', 'B5']","[37, 39, 46, 51, 63]"
D,minor-sixth,[],"['F3', 'A3', 'C4', 'E4', 'B4', 'B5']","[33, 37, 40, 44, 51, 63]"
G,dominant,[],"['F3', 'A3', 'B3', 'E4', 'D5', 'D6']","[33, 37, 39, 44, 54, 66]"
C,major-sixth,[],"['E3', 'A3', 'B3', 'D4', 'A4', 'A5']","[32, 37, 39, 42, 49, 61]"
C,dominant-ninth,[],"['Bb3', 'D4', 'E4', 'A4', 'F#5']","[38, 42, 44, 49, 58]"
B,minor,[],"['A3', 'C#4', 'D4', 'F#4', 'B5']","[37, 41, 42, 46, 63]"
E,dominant,[],"['A3', 'C#4', 'D4', 'F#4', 'B5']","[37, 41, 42, 46, 63]"
A,dominant,[],"['G3', 'C#4', 'F#4', 'B5']","[35, 41, 46, 63]"
A,minor,[],"['G3', 'C4', 'E4', 'E5', 'G5']","[35, 40, 44, 56, 59]"
D,dominant,[],"['F#3', 'C4', 'E4', 'E5', 'A5']","[34, 40, 44, 56, 61]"
G,major-sixth,[],"['G3', 'B3', 'D4', 'D5', 'G5']","[35, 39, 42, 54, 59]"
D,dominant-ninth,[],"['F#3', 'A3', 'C4', 'E4', 'E5']","[34, 37, 40, 44, 56]"
G,major-seventh,[],"['F#3', 'G3', 'B3', 'D4', 'G5']","[34, 35, 39, 42, 59]"
G,power,"[{'degree': '5', 'alter': '1', 'type': 'alter'}]","['G3', 'B3', 'D#4', 'G5']","[35, 39, 43, 59]"
C,major-seventh,[],"['B3', 'C4', 'E4', 'G4', 'B4', 'F#5']","[39, 40, 44, 47, 51, 58]"
C,dominant-ninth,[],"['Bb3', 'C4', 'E4', 'A4', 'D5']","[38, 40, 44, 49, 54]"
B,dominant,[],"['F#3', 'B3', 'D#4', 'A4', 'D5']","[34, 39, 43, 49, 54]"
E,minor-ninth,[],"['E3', 'B3', 'E4', 'F#4', 'G4']","[32, 39, 44, 46, 47]"
D,dominant,[],"['D3', 'D4', 'A4', 'F#5']","[30, 42, 49, 58]"
G,major,[],"['G3', 'D4', 'G4', 'B4', 'G5']","[35, 42, 47, 51, 59]"
G,power,"[{'degree': '5', 'alter': '1', 'type': 'alter'}]","['G3', 'D4', 'G4', 'B4', 'G5']","[35, 42, 47, 51, 59]"
C,major-seventh,[],"['G3', 'B3', 'C4', 'E4', 'A4', 'F#5']","[35, 39, 40, 44, 49, 58]"
C,dominant,[],"['G3', 'Bb3', 'C4', 'E4', 'A4', 'E5']","[35, 38, 40, 44, 49, 56]"
A,suspended-fourth,[],"['A3', 'E4', 'A4', 'D5']","[37, 44, 49, 54]"
A,major,[],"['G3', 'C#4', 'F#4', 'A4']","[35, 41, 46, 49]"
A,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","['G3', 'C#4', 'F#4', 'A4']","[35, 41, 46, 49]"
A,dominant,[],"['G3', 'C#4', 'F#4', 'A4']","[35, 41, 46, 49]"
A,dominant-ninth,[],"['G3', 'C#4', 'F#4', 'A4']","[35, 41, 46, 49]"
D,dominant,"[{'degree': '5', 'alter': '1', 'type': 'alter'}]","['F#3', 'C4', 'E4', 'Bb4', 'D5']","[34, 40, 44, 50, 54]"
G,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['G3', 'C4', 'F4', 'D5', 'B5']","[35, 40, 45, 54, 63]"
G,dominant,"[{'degree': '5', 'alter': '1', 'type': 'alter'}]","['G3', 'B3', 'D#4', 'D#5']","[35, 39, 43, 55]"
C,major-sixth,[],"['G3', 'A3', 'D4', 'D5', 'A5']","[35, 37, 42, 54, 61]"
G,other,[],"['G3', 'C#4', 'E4', 'Bb4', 'E5']","[35, 41, 44, 50, 56]"
B,minor,[],"['B3', 'D4', 'F#4', 'D5']","[39, 42, 46, 54]"
B,dominant,[],"['F#3', 'A3', 'D#4', 'F#4', 'B4']","[34, 37, 43, 46, 51]"
E,minor-seventh,[],"['E3', 'B3', 'F#4', 'G4']","[32, 39, 46, 47]"
E,minor-seventh,[],"['D3', 'B3', 'E4', 'G4']","[30, 39, 44, 47]"
A,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '9', 'alter': '-1', 'type': 'add'}]","['Bb3', 'Eb4', 'G4']","[38, 43, 47]"
B,minor-seventh,[],"['A3', 'D4', 'F#4', 'B4']","[37, 42, 46, 51]"
E,minor-seventh,[],"['E3', 'G3', 'G4', 'D5']","[32, 35, 47, 54]"
A,suspended-fourth,[],"['G3', 'A3', 'D4', 'A4']","[35, 37, 42, 49]"
A,minor-seventh,[],"['G3', 'C4', 'E4']","[35, 40, 44]"
D,dominant,[],"['F#3', 'C4', 'F#4']","[34, 40, 46]"
F,minor-seventh,[],"['F#2', 'Ab3', 'C4', 'Eb4', 'G4']","[22, 36, 40, 43, 47]"
C,minor,[],"['C3', 'Eb3', 'G3', 'Bb3', 'D4', 'D5']","[28, 31, 35, 38, 42, 54]"
F,major,[],"['F2', 'C3', 'A3', 'C4', 'F4', 'A4']","[21, 28, 37, 40, 45, 49]"
A,major,[],"['C#2', 'C#3', 'A3', 'C#4', 'E4', 'A4']","[17, 29, 37, 41, 44, 49]"
D,minor,[],"['D2', 'D3', 'A3', 'D4', 'F4']","[18, 30, 37, 42, 45]"
F,dominant,[],"['A2', 'F3', 'A3', 'C4', 'Eb4']","[25, 33, 37, 40, 43]"
Bb,major,[],"['Bb2', 'Bb3', 'F4', 'Bb4', 'D5', 'F5']","[26, 38, 45, 50, 54, 57]"
E,dominant,[],"['B2', 'G#3', 'D4', 'E4', 'G#4', 'E5']","[27, 36, 42, 44, 48, 56]"
F,major,[],"['C3', 'F3', 'A3', 'F4', 'A4', 'C5']","[28, 33, 37, 45, 49, 52]"
Bb,major,[],"['Bb2', 'Bb3', 'F4', 'Bb4', 'D5', 'F5']","[26, 38, 45, 50, 54, 57]"
E,dominant,[],"['B2', 'G#3', 'D4', 'E4', 'G#4', 'E5']","[27, 36, 42, 44, 48, 56]"
F,major,[],"['C3', 'A3', 'C4', 'F4', 'A4', 'C5']","[28, 37, 40, 45, 49, 52]"
A,major,[],"['C#3', 'A3', 'C#4', 'E4', 'A4']","[29, 37, 41, 44, 49]"
D,minor,[],"['D3', 'A3', 'D4', 'F4']","[30, 37, 42, 45]"
G,dominant,[],"['G2', 'D3', 'B3', 'G4']","[23, 30, 39, 47]"
C,major,[],"['C3', 'C4', 'E4', 'G4', 'C5']","[28, 40, 44, 47, 52]"
F,major,[],"['A2', 'C4', 'F4', 'A4', 'C5']","[25, 40, 45, 49, 52]"
C,dominant,[],"['G2', 'C4', 'E4', 'G4', 'Bb4']","[23, 40, 44, 47, 50]"
F,major,[],"['F2', 'C3', 'F3', 'A4', 'C5', 'F5', 'A5']","[21, 28, 33, 49, 52, 57, 61]"
A,major,[],"['C#3', 'A3', 'A4', 'C#5', 'E5', 'A5']","[29, 37, 49, 53, 56, 61]"
D,minor,[],"['D3', 'A3', 'F4', 'A4', 'D5', 'F5']","[30, 37, 45, 49, 54, 57]"
F,dominant,[],"['A2', 'F3', 'F4', 'A4', 'C5', 'Eb5']","[25, 33, 45, 49, 52, 55]"
Bb,major,[],"['Bb2', 'Bb3', 'F4', 'Bb4', 'D5', 'F5']","[26, 38, 45, 50, 54, 57]"
E,dominant,[],"['B2', 'G#3', 'D4', 'E4', 'G#4', 'E5']","[27, 36, 42, 44, 48, 56]"
F,major,[],"['C3', 'F3', 'A3', 'F4', 'A4', 'C5']","[28, 33, 37, 45, 49, 52]"
Bb,major,[],"['Bb2', 'Bb3', 'F4', 'Bb4', 'D5', 'F5']","[26, 38, 45, 50, 54, 57]"
E,dominant,[],"['B2', 'G#3', 'D4', 'E4', 'G#4', 'E5']","[27, 36, 42, 44, 48, 56]"
F,major,[],"['C3', 'A3', 'C4', 'F4', 'A4', 'C5']","[28, 37, 40, 45, 49, 52]"
A,major,[],"['C#3', 'A3', 'C#4', 'E4', 'A4']","[29, 37, 41, 44, 49]"
D,minor,[],"['D3', 'A3', 'D4', 'F4']","[30, 37, 42, 45]"
G,minor-seventh,[],"['G2', 'Bb3', 'D4', 'F4', 'Bb4']","[23, 38, 42, 45, 50]"
F,major,[],"['A2', 'C4', 'F4', 'A4']","[25, 40, 45, 49]"
Bb,major,[],"['Bb2', 'F3', 'Bb3', 'D4', 'F4']","[26, 33, 38, 42, 45]"
C,dominant,[],"['C3', 'Bb3', 'C4', 'E4', 'G4']","[28, 38, 40, 44, 47]"
Bb,major,[],"['F2', 'F3', 'Bb3', 'D4', 'F4']","[21, 33, 38, 42, 45]"
F,major,[],"['F2', 'C3', 'A3', 'C4', 'F4']","[21, 28, 37, 40, 45]"
C,major,[],"['C4', 'E4', 'G4']","[40, 44, 47]"
F,major,[],"['F2', 'C3', 'A4', 'C5', 'F5', 'A5']","[21, 28, 49, 52, 57, 61]"
A,major,[],"['C#3', 'A3', 'A4', 'C#5', 'E5', 'A5']","[29, 37, 49, 53, 56, 61]"
D,minor,[],"['D3', 'A3', 'F4', 'A4', 'D5', 'F5']","[30, 37, 45, 49, 54, 57]"
F,dominant,[],"['A2', 'F3', 'C4', 'A4', 'C5', 'Eb5', 'F5']","[25, 33, 40, 49, 52, 55, 57]"
Bb,major,[],"['Bb2', 'Bb3', 'F4', 'Bb4', 'D5', 'F5']","[26, 38, 45, 50, 54, 57]"
E,dominant,[],"['B2', 'G#3', 'D4', 'E4', 'G#4', 'E5']","[27, 36, 42, 44, 48, 56]"
F,major,[],"['C3', 'A3', 'C4', 'F4', 'A4', 'C5']","[28, 37, 40, 45, 49, 52]"
A,major,[],"['C#3', 'A3', 'C#4', 'E4', 'A4']","[29, 37, 41, 44, 49]"
D,minor,[],"['D3', 'A3', 'D4', 'F4']","[30, 37, 42, 45]"
G,dominant,[],"['G2', 'D3', 'B3', 'G4']","[23, 30, 39, 47]"
C,major,[],"['C2', 'C3', 'C4', 'E4', 'G4', 'C5']","[16, 28, 40, 44, 47, 52]"
F,major,[],"['A1', 'A2', 'C4', 'F4', 'A4', 'C5']","[13, 25, 40, 45, 49, 52]"
C,dominant,[],"['G1', 'G2', 'C4', 'E4', 'G4', 'Bb4']","[11, 23, 40, 44, 47, 50]"
F,major,[],"['F2', 'C3', 'F3', 'A4', 'C5', 'F5', 'A5']","[21, 28, 33, 49, 52, 57, 61]"
A,major,[],"['C#2', 'C#3', 'A4', 'C#5', 'E5', 'A5']","[17, 29, 49, 53, 56, 61]"
D,minor,[],"['D2', 'D3', 'F4', 'A4', 'D5', 'F5']","[18, 30, 45, 49, 54, 57]"
F,dominant,[],"['A2', 'F3', 'A4', 'C5', 'Eb5', 'F5']","[25, 33, 49, 52, 55, 57]"
Bb,major,[],"['Bb2', 'Bb3', 'F4', 'Bb4', 'D5', 'F5']","[26, 38, 45, 50, 54, 57]"
E,dominant,[],"['B2', 'G#3', 'D4', 'E4', 'G#4', 'E5']","[27, 36, 42, 44, 48, 56]"
F,major,[],"['C3', 'F3', 'A3', 'F4', 'A4', 'C5']","[28, 33, 37, 45, 49, 52]"
Bb,major,[],"['Bb2', 'Bb3', 'F4', 'Bb4', 'D5', 'F5']","[26, 38, 45, 50, 54, 57]"
E,dominant,[],"['B2', 'G#3', 'D4', 'E4', 'G#4', 'E5']","[27, 36, 42, 44, 48, 56]"
F,major,[],"['C3', 'A3', 'C4', 'F4', 'A4', 'C5']","[28, 37, 40, 45, 49, 52]"
A,dominant,[],"['C#3', 'G3', 'A3', 'C#4', 'E4', 'A4']","[29, 35, 37, 41, 44, 49]"
D,minor,[],"['D3', 'F3', 'A3', 'D4', 'F4']","[30, 33, 37, 42, 45]"
G,minor-seventh,[],"['G2', 'Bb3', 'D4', 'F4', 'Bb4']","[23, 38, 42, 45, 50]"
F,major,[],"['A2', 'A3', 'C4', 'F4', 'A4']","[25, 37, 40, 45, 49]"
Bb,major,[],"['Bb1', 'Bb2', 'Bb3', 'D4', 'F4']","[14, 26, 38, 42, 45]"
C,dominant,[],"['C2', 'C3', 'C4', 'E4', 'G4']","[16, 28, 40, 44, 47]"
Bb,major,[],"['F2', 'D3', 'Bb3', 'D4', 'F4']","[21, 30, 38, 42, 45]"
F,major,[],"['C3', 'A3', 'C4', 'F4']","[28, 37, 40, 45]"
Bb,major-sixth,[],"['Bb2', 'F3', 'G3', 'Bb3', 'D4']","[26, 33, 35, 38, 42]"
F,major,[],"['F2', 'C3', 'F3', 'A3', 'C4']","[21, 28, 33, 37, 40]"
G,dominant,[],"['F3', 'B3', 'D4']","[33, 39, 42]"
C,dominant,[],"['E3', 'Bb3', 'D4', 'A4']","[32, 38, 42, 49]"
G,dominant,[],"['F3', 'B3', 'D4', 'B4']","[33, 39, 42, 51]"
D,dominant,[],"['F#3', 'C4', 'F4', 'A4']","[34, 40, 45, 49]"
Eb,dominant,[],"['G3', 'Db4', 'Gb4', 'Bb4']","[35, 41, 46, 50]"
D,dominant,[],"['F#3', 'C4', 'F4', 'A4']","[34, 40, 45, 49]"
G,dominant,[],"['F3', 'B3', 'D4', 'A4']","[33, 39, 42, 49]"
Bb,major-seventh,[],"['A3', 'Bb3', 'D4', 'F4']","[37, 38, 42, 45]"
C,minor-seventh,[],"['F2', 'Bb3', 'C4', 'Eb4', 'G4']","[21, 38, 40, 43, 47]"
Bb,major-seventh,[],"['A3', 'Bb3', 'D4', 'F4']","[37, 38, 42, 45]"
C,minor-seventh,[],"['F2', 'G3', 'Bb3', 'C4', 'Eb4']","[21, 35, 38, 40, 43]"
Bb,major-seventh,[],"['F3', 'A3', 'Bb3', 'D4']","[33, 37, 38, 42]"
C,minor-seventh,[],"['D3', 'Eb3', 'G3']","[30, 31, 35]"
C,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","['E3', 'Ab3', 'Bb3']","[32, 36, 38]"
F,major,[],"['F2', 'Eb3', 'Gb3', 'B3', 'D4']","[21, 31, 34, 39, 42]"
Bb,major-seventh,[],"['Bb2', 'A3', 'Bb3', 'D4', 'F4']","[26, 37, 38, 42, 45]"
D,augmented-seventh,[],"['D3', 'C4', 'F#4', 'Bb4']","[30, 40, 46, 50]"
Eb,major-seventh,[],"['Eb3', 'Bb3', 'D4', 'Eb4', 'A4']","[31, 38, 42, 43, 49]"
G,augmented-seventh,[],"['G2', 'B3', 'Eb4', 'G4']","[23, 39, 43, 47]"
C,minor-ninth,[],"['C3', 'Bb3', 'D4', 'Eb4', 'G4']","[28, 38, 42, 43, 47]"
G,augmented-seventh,[],"['G3', 'F4', 'B4', 'Eb5']","[35, 45, 51, 55]"
C,minor-ninth,[],"['C3', 'Eb4', 'G4', 'Bb4', 'D5']","[28, 43, 47, 50, 54]"
F,dominant,[],"['F3', 'Eb4', 'A4', 'C5']","[33, 43, 49, 52]"
D,minor-seventh,[],"['D3', 'A4', 'C5', 'D5', 'F5']","[30, 49, 52, 54, 57]"
C#,diminished,[],"['C#3', 'Bb4', 'C#5', 'E5', 'A5']","[29, 50, 53, 56, 61]"
C,minor-11th,[],"['C3', 'Bb4', 'C5', 'Eb5', 'F5']","[28, 50, 52, 55, 57]"
F,dominant,[],"['F3', 'A4', 'C5', 'Eb5', 'F5']","[33, 49, 52, 55, 57]"
D,minor-seventh,[],"['D3', 'A4', 'C5', 'D5', 'F5']","[30, 49, 52, 54, 57]"
C#,diminished,[],"['C#3', 'Bb4', 'C#5', 'E5', 'A5']","[29, 50, 53, 56, 61]"
C,minor-11th,[],"['C3', 'Bb4', 'C5', 'Eb5', 'F5']","[28, 50, 52, 55, 57]"
F,dominant,[],"['F2', 'A4', 'C5', 'Eb5', 'F5']","[21, 49, 52, 55, 57]"
Bb,major-seventh,[],"['Bb2', 'A3', 'Bb3', 'D4', 'F4']","[26, 37, 38, 42, 45]"
D,augmented-seventh,[],"['D3', 'C4', 'F#4', 'Bb4']","[30, 40, 46, 50]"
Eb,major-seventh,[],"['Eb3', 'Bb3', 'D4', 'Eb4', 'A4']","[31, 38, 42, 43, 49]"
G,augmented-seventh,[],"['G3', 'B3', 'Eb4', 'G4']","[35, 39, 43, 47]"
C,minor-ninth,[],"['C3', 'Bb3', 'D4', 'Eb4', 'G4']","[28, 38, 42, 43, 47]"
G,augmented-seventh,[],"['G2', 'F4', 'B4', 'Eb5']","[23, 45, 51, 55]"
C,minor-seventh,[],"['C3', 'Eb4', 'G4', 'D5']","[28, 43, 47, 54]"
F,dominant,[],"['F3', 'F4', 'A4', 'C5']","[33, 45, 49, 52]"
Bb,major-seventh,[],"['Bb2', 'A4', 'Bb4', 'D5', 'F5']","[26, 49, 50, 54, 57]"
D,augmented-seventh,[],"['D3', 'D5', 'F#5', 'Bb5', 'C6']","[30, 54, 58, 62, 64]"
Eb,major-seventh,[],"['Eb3', 'D4', 'Eb4', 'G4', 'Bb4']","[31, 42, 43, 47, 50]"
E,diminished,[],"['E3', 'Bb4', 'Db5', 'E5', 'A5']","[32, 50, 53, 56, 61]"
Bb,major-seventh,[],"['A4', 'Bb4', 'D5', 'F5']","[49, 50, 54, 57]"
G,dominant,[],"['F2', 'G4', 'Bb4', 'D5', 'F5']","[21, 47, 50, 54, 57]"
C,minor-11th,[],"['F2', 'Bb4', 'C5', 'Eb5', 'F5']","[21, 50, 52, 55, 57]"
F,dominant,[],"['F2', 'A4', 'C5', 'Eb5', 'F5']","[21, 49, 52, 55, 57]"
F,augmented-seventh,[],"['Eb4', 'A4', 'Db5']","[43, 49, 53]"
Bb,major-ninth,[],"['Bb2', 'D4', 'F4', 'A4', 'C5']","[26, 42, 45, 49, 52]"
Bb,major-seventh,[],"['A3', 'Bb3', 'F4']","[37, 38, 45]"
E,dominant-ninth,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","['E3', 'Bb3', 'D4', 'F#4', 'Bb4']","[32, 38, 42, 46, 50]"
A,half-diminished,[],"['A3', 'C4', 'G4', 'C5', 'Eb5']","[37, 40, 47, 52, 55]"
D,dominant-ninth,[],"['D3', 'F#3', 'C4', 'E4', 'F#4']","[30, 34, 40, 44, 46]"
G,minor-ninth,"[{'degree': '13', 'alter': '0', 'type': 'add'}]","['G3', 'Bb3', 'E4', 'A4', 'D5']","[35, 38, 44, 49, 54]"
C,dominant,[],"['C3', 'Bb3', 'D4', 'E4']","[28, 38, 42, 44]"
F,minor-ninth,"[{'degree': '13', 'alter': '0', 'type': 'add'}]","['F3', 'Ab3', 'Eb4', 'G4', 'C5']","[33, 36, 43, 47, 52]"
Bb,dominant-ninth,[],"['Bb2', 'A3', 'C4', 'D4']","[26, 37, 40, 42]"
Eb,major-seventh,[],"['Eb3', 'G3', 'D4', 'Bb4']","[31, 35, 42, 50]"
C,minor-seventh,[],"['C3', 'Bb3', 'Eb4']","[28, 38, 43]"
Eb,minor-ninth,"[{'degree': '13', 'alter': '0', 'type': 'add'}]","['Eb3', 'Db4', 'Gb4', 'Bb4']","[31, 41, 46, 50]"
Ab,dominant-ninth,"[{'degree': '13', 'alter': '0', 'type': 'add'}]","['Ab3', 'C4', 'Gb4', 'Bb4', 'F5']","[36, 40, 46, 50, 57]"
Db,major-seventh,[],"['Db3', 'C4', 'F4', 'Ab4']","[29, 40, 45, 48]"
Db,major-seventh,[],"['Bb3', 'Db4', 'Ab4', 'C5', 'Eb5']","[38, 41, 48, 52, 55]"
Db,minor-ninth,[],"['Db3', 'B3', 'Eb4', 'Ab4']","[29, 39, 43, 48]"
Gb,dominant-ninth,[],"['Gb3', 'Bb3', 'E4', 'Ab4', 'Eb5']","[34, 38, 44, 48, 55]"
B,major-seventh,[],"['B2', 'Bb3', 'Eb4', 'Gb4']","[27, 38, 43, 46]"
B,minor-ninth,"[{'degree': '13', 'alter': '0', 'type': 'add'}]","['B2', 'A3', 'C#4', 'G#4', 'B4']","[27, 37, 41, 48, 51]"
C,minor-seventh,[],"['C4', 'Eb4', 'Bb4', 'D5', 'F5']","[40, 43, 50, 54, 57]"
F,dominant,[],"['F3', 'Eb4', 'A4', 'D5']","[33, 43, 49, 54]"
D,minor-seventh,[],"['D3', 'C4', 'F4']","[30, 40, 45]"
B,dominant,[],"['B2', 'A3', 'Db4', 'F4']","[27, 37, 41, 45]"
Bb,major-seventh,[],"['Bb2', 'A3', 'A4', 'D5', 'F5']","[26, 37, 49, 54, 57]"
G,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '13', 'alter': '-1', 'type': 'add'}]","['G3', 'B3', 'G#4', 'B4', 'Eb5']","[35, 39, 48, 51, 55]"
