root,type,extensions,notes,note_numbers
C,half-diminished,[],"['C2', 'Eb3', 'Bb3', 'Gb4']","[16, 31, 38, 46]"
B,dominant,[],"['B2', 'A3', 'Db4', 'F4']","[27, 37, 41, 45]"
Bb,dominant,[],"['Bb2', 'Ab3', 'D4']","[26, 36, 42]"
Bb,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","['Bb2', 'D3', 'Ab3', 'B3', 'Fb4', 'Bb4']","[26, 30, 36, 39, 44, 50]"
Eb,minor-ninth,[],"['D2', 'D3', 'Bb3', 'Eb4']","[18, 30, 38, 43]"
C,half-diminished,[],"['C3', 'Gb3', 'Bb3', 'Eb4']","[28, 34, 38, 43]"
F,half-diminished,"[{'degree': '11', 'alter': '0', 'type': 'add'}]","['F2', 'Eb3', 'Ab3', 'B3', 'Eb4', 'Bb4']","[21, 31, 36, 39, 43, 50]"
Bb,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","['Bb2', 'Ab3', 'B3', 'Fb4', 'Ab4']","[26, 36, 39, 44, 48]"
Eb,minor-seventh,[],"['Bb3', 'Db4', 'Gb4']","[38, 41, 46]"
Ab,dominant,[],"['C4', 'F4', 'C5']","[40, 45, 52]"
